asignatura,año,creditos,departamento,duracion,id,proyectoDocente,tipo,titulacion
ÁLGEBRA Y GEOMETRÍA,1,6,INFORMÁTICA Y SISTEMAS,1,40951,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=65852&NUEVA=1,Básica de rama,1
MATEMÁTICA DISCRETA,1,6,INFORMÁTICA Y SISTEMAS,1,40952,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=66344&NUEVA=1,Básica de rama,1
FUNDAMENTOS DE PROGRAMACIÓN I,1,6,INFORMÁTICA Y SISTEMAS,1,40953,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=65621&NUEVA=1,Básica de rama,1
FUNDAMENTOS DE COMPUTADORES,1,6,INFORMÁTICA Y SISTEMAS,1,40954,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=66103&NUEVA=1,Básica de rama,1
HABILIDADES PROFESIONALES PARA INGENIEROS,1,6,"FILOLOGÍA MODERNA, TRADUCCIÓN E INTERPRETACIÓN,INFORMÁTICA Y SISTEMAS",1,40955,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=66188&NUEVA=1,Obligatoria,1
MATEMÁTICAS PARA LA COMPUTACIÓN,1,6,INFORMÁTICA Y SISTEMAS,2,40956,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=66094&NUEVA=1,Básica de rama,1
FUNDAMENTOS FÍSICOS DE LA INFORMÁTICA,1,6,FÍSICA,2,40957,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=66910&NUEVA=1,Básica de rama,1
FUNDAMENTOS DE PROGRAMACIÓN II,1,6,INFORMÁTICA Y SISTEMAS,2,40958,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=66114&NUEVA=1,Básica de rama,1
ESTRUCTURA DE COMPUTADORES,1,6,INFORMÁTICA Y SISTEMAS,2,40959,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=65827&NUEVA=1,Básica de rama,1
LA EMPRESA Y SUS PROCESOS,1,6,ECONOMÍA Y DIRECCIÓN DE EMPRESAS,2,40960,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=64801&NUEVA=1,Básica de rama,1
MÉTODOS ESTADÍSTICOS,2,6,INFORMÁTICA Y SISTEMAS,1,40961,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=66523&NUEVA=1,Básica,1
ALGORITMOS Y PROGRAMACIÓN,2,6,INGENIERÍA TELEMÁTICA,1,40962,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=64828&NUEVA=1,Obligatoria,1
TECNOLOGÍAS DE PROGRAMACIÓN,2,6,INFORMÁTICA Y SISTEMAS,1,40963,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=65674&NUEVA=1,Obligatoria,1
PERIFÉRICOS E INTERFACES,2,6,INFORMÁTICA Y SISTEMAS,1,40964,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=66138&NUEVA=1,Obligatoria,1
INGENIERÍA DEL SOFTWARE I,2,6,INFORMÁTICA Y SISTEMAS,1,40965,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=66343&NUEVA=1,Obligatoria,1
MÉTODOS NUMÉRICOS,2,6,INFORMÁTICA Y SISTEMAS,2,40966,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=65779&NUEVA=1,Básica de rama,1
ESTRUCTURAS DE DATOS Y PROGRAMACIÓN,2,6,INFORMÁTICA Y SISTEMAS,2,40967,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=65622&NUEVA=1,Obligatoria,1
BASES DE DATOS I,2,6,INFORMÁTICA Y SISTEMAS,2,40968,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=65671&NUEVA=1,Obligatoria,1
ARQUITECTURA DE COMPUTADORES,2,6,INFORMÁTICA Y SISTEMAS,2,40969,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=66037&NUEVA=1,Obligatoria,1
FUNDAMENTOS DE LOS SISTEMAS OPERATIVOS,2,6,INFORMÁTICA Y SISTEMAS,2,40970,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=65542&NUEVA=1,Obligatoria,1
REDES DE COMPUTADORES,3,6,INFORMÁTICA Y SISTEMAS,1,40971,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=65525&NUEVA=1,Obligatoria,1
ADMINISTRACIÓN DE SISTEMAS OPERATIVOS,3,6,INFORMÁTICA Y SISTEMAS,1,40972,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=65924&NUEVA=1,Obligatoria,1
BASES DE DATOS II,3,6,INFORMÁTICA Y SISTEMAS,1,40973,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=65710&NUEVA=1,Obligatoria,1
FUNDAMENTOS DE LOS SISTEMAS INTELIGENTES,3,6,INFORMÁTICA Y SISTEMAS,1,40974,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=66273&NUEVA=1,Obligatoria,1
INGENIERÍA DEL SOFTWARE II,3,6,INFORMÁTICA Y SISTEMAS,1,40975,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=66545&NUEVA=1,Obligatoria,1
ADMINISTRACIÓN DE SERVICIOS EN RED,3,6,INFORMÁTICA Y SISTEMAS,2,40976,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=65905&NUEVA=1,Obligatoria,1
VIRTUALIZACIÓN Y PROCESAMIENTO DISTRIBUIDO,3,6,INFORMÁTICA Y SISTEMAS,2,40977,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=65858&NUEVA=1,Obligatoria,1
PROGRAMACIÓN WEB Y MÓVIL,3,9,INGENIERÍA TELEMÁTICA,2,40978,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=64866&NUEVA=1,Obligatoria,1
PRODUCCIÓN DE SOFTWARE,3,9,INFORMÁTICA Y SISTEMAS,2,40979,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=65943&NUEVA=1,Obligatoria,1
INFORMÁTICA GRÁFICA,4,6,INFORMÁTICA Y SISTEMAS,1,40980,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=65956&NUEVA=1,Opcional,1
SISTEMAS ROBÓTICOS AUTÓNOMOS,4,6,INFORMÁTICA Y SISTEMAS,1,40981,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=66133&NUEVA=1,Opcional,1
VISIÓN POR COMPUTADOR,4,6,INFORMÁTICA Y SISTEMAS,1,40982,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=65593&NUEVA=1,Opcional,1
PROGRAMACIÓN DE APLICACIONES MÓVILES NATIVAS,4,6,INFORMÁTICA Y SISTEMAS,1,40983,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=65782&NUEVA=1,Opcional,1
COMPUTACIÓN EN LA NUBE,4,6,INFORMÁTICA Y SISTEMAS,1,40984,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=66306&NUEVA=1,Opcional,1
INTERNET DE LAS COSAS,4,6,INFORMÁTICA Y SISTEMAS,1,40985,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=66285&NUEVA=1,Opcional,1
EMPRENDIMIENTO Y CREACIÓN DE EMPRESAS DE BASE TECNOLÓGICA,4,6,ECONOMÍA Y DIRECCIÓN DE EMPRESAS,1,40986,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=65036&NUEVA=1,Opcional,1
LOS SISTEMAS DE INFORMACIÓN EN LA ORGANIZACIÓN,4,6,INFORMÁTICA Y SISTEMAS,1,40987,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=65759&NUEVA=1,Opcional,1
SEGURIDAD DE LA INFORMACIÓN,4,6,INFORMÁTICA Y SISTEMAS,2,40988,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=66033&NUEVA=1,Obligatoria,1
PROYECTOS DE INGENIERÍA Y GESTIÓN DEL SOFTWARE,4,6,INFORMÁTICA Y SISTEMAS,2,40989,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=65610&NUEVA=1,Obligatoria,1
PRÁCTICAS EXTERNAS,4,12, ,Anual,40990,http://www2.ulpgc.es/aplicaciones/proyectosdocentes/pdf.php?id_proyecto=66527&NUEVA=1,Obligatoria,1
